date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
06:32:26	160552/160552	---MCZ	200	added ('OK')	text/html	etag:%22328-1729085437;gz%22	https://globalactivationsonline.com/activate-now/?gad_source=1&gclid=EAIaIQobChMIhor5iIGTiQMV39TCBB0QKxKUEAMYAiAAEgIcjfD_BwE	C:/Users/Padmin/Desktop/tvcode1/entertvcode/globalactivationsonline.com/activate-now/indexffd2.html	(from )
06:32:26	121/121	---M-Z	200	added ('OK')	text/plain	etag:%22241-1728587539;gz%22	https://globalactivationsonline.com/robots.txt		(from )
06:32:27	43154/43154	---M-Z	200	added ('OK')	text/css	date:Wed,%2011%20Sep%202024%2014:59:30%20GMT	https://globalactivationsonline.com/wp-content/themes/astra/assets/css/minified/main.min.css?ver=4.8.3	C:/Users/Padmin/Desktop/tvcode1/entertvcode/globalactivationsonline.com/wp-content/themes/astra/assets/css/minified/main.min7bcd.css	(from https://globalactivationsonline.com/activate-now/?gad_source=1&gclid=EAIaIQobChMIhor5iIGTiQMV39TCBB0QKxKUEAMYAiAAEgIcjfD_BwE)
06:32:28	112427/112427	---M-Z	200	added ('OK')	text/css	date:Wed,%2011%20Sep%202024%2000:59:58%20GMT	https://globalactivationsonline.com/wp-includes/css/dist/block-library/style.min.css?ver=6.6.2	C:/Users/Padmin/Desktop/tvcode1/entertvcode/globalactivationsonline.com/wp-includes/css/dist/block-library/style.min109c.css	(from https://globalactivationsonline.com/activate-now/?gad_source=1&gclid=EAIaIQobChMIhor5iIGTiQMV39TCBB0QKxKUEAMYAiAAEgIcjfD_BwE)
06:32:29	27497/27497	---M-Z	200	added ('OK')	text/css	date:Tue,%2017%20Sep%202024%2002:24:56%20GMT	https://globalactivationsonline.com/wp-content/plugins/surecart/dist/components/surecart/surecart.css?ver=1726539896	C:/Users/Padmin/Desktop/tvcode1/entertvcode/globalactivationsonline.com/wp-content/plugins/surecart/dist/components/surecart/surecartbe23.css	(from https://globalactivationsonline.com/activate-now/?gad_source=1&gclid=EAIaIQobChMIhor5iIGTiQMV39TCBB0QKxKUEAMYAiAAEgIcjfD_BwE)
06:32:30	160552/160552	---MCZ	200	added ('OK')	text/html	etag:%22330-1729085549;gz%22	https://globalactivationsonline.com/activate-now/	C:/Users/Padmin/Desktop/tvcode1/entertvcode/globalactivationsonline.com/activate-now/index.html	(from https://globalactivationsonline.com/activate-now/?gad_source=1&gclid=EAIaIQobChMIhor5iIGTiQMV39TCBB0QKxKUEAMYAiAAEgIcjfD_BwE)
06:32:30	3940/3940	---M-Z	200	added ('OK')	text/css	date:Thu,%2026%20Oct%202023%2001:40:38%20GMT	https://globalactivationsonline.com/wp-content/plugins/surecart/packages/blocks/Blocks/Product/BuyButton/style.css?ver=6.6.2	C:/Users/Padmin/Desktop/tvcode1/entertvcode/globalactivationsonline.com/wp-content/plugins/surecart/packages/blocks/Blocks/Product/BuyButton/style109c.css	(from https://globalactivationsonline.com/activate-now/?gad_source=1&gclid=EAIaIQobChMIhor5iIGTiQMV39TCBB0QKxKUEAMYAiAAEgIcjfD_BwE)
06:32:30	98/98	---M--	200	added ('OK')	text/css	date:Mon,%2016%20May%202022%2017:57:44%20GMT	https://globalactivationsonline.com/wp-content/plugins/wp-live-chat-support/public/css/wplc-plugin-public.css?ver=10.0.14	C:/Users/Padmin/Desktop/tvcode1/entertvcode/globalactivationsonline.com/wp-content/plugins/wp-live-chat-support/public/css/wplc-plugin-public34f3.css	(from https://globalactivationsonline.com/activate-now/?gad_source=1&gclid=EAIaIQobChMIhor5iIGTiQMV39TCBB0QKxKUEAMYAiAAEgIcjfD_BwE)
06:32:31	335/335	---M-Z	200	added ('OK')	text/css	date:Wed,%2009%20Oct%202024%2014:53:04%20GMT	https://globalactivationsonline.com/wp-content/plugins/ultimate-addons-for-gutenberg/assets/css/spectra-block-positioning.min.css?ver=2.16.1	C:/Users/Padmin/Desktop/tvcode1/entertvcode/globalactivationsonline.com/wp-content/plugins/ultimate-addons-for-gutenberg/assets/css/spectra-block-positioning.min12d7.css	(from https://globalactivationsonline.com/activate-now/?gad_source=1&gclid=EAIaIQobChMIhor5iIGTiQMV39TCBB0QKxKUEAMYAiAAEgIcjfD_BwE)
06:32:31	32306/32306	---M-Z	200	added ('OK')	text/css	date:Wed,%2016%20Oct%202024%2011:29:14%20GMT	https://globalactivationsonline.com/wp-content/uploads/uag-plugin/assets/1000/uag-css-930.css?ver=1729078440	C:/Users/Padmin/Desktop/tvcode1/entertvcode/globalactivationsonline.com/wp-content/uploads/uag-plugin/assets/1000/uag-css-930ba34.css	(from https://globalactivationsonline.com/activate-now/?gad_source=1&gclid=EAIaIQobChMIhor5iIGTiQMV39TCBB0QKxKUEAMYAiAAEgIcjfD_BwE)
